날짜,월,사고수,날씨
8,12,79,
9,12,97,
10,12,109,
11,12,94,
12,12,113,
13,12,139,
14,12,127,
15,12,81,
16,12,92,
17,12,111,
18,12,99,
19,12,116,
20,12,122,
21,12,105,
22,12,73,
23,12,113,
24,12,121,
25,12,76,
26,12,91,
27,12,94,연무
28,12,94,
29,12,78,"비
박무"
30,12,91,"비
눈
박무
연무"
31,12,106,눈
