사용일자,역명,승차총승객수,하차총승객수,날짜,월,사고수,날씨
20200630,강남,85555.0,85945.0,30,6,96,"비
박무"
20200701,강남,86938.0,87205.0,1,7,85,"비
박무
연무"
20200702,강남,87949.0,88570.0,2,7,96,"박무
연무"
20200703,강남,92939.0,96458.0,3,7,129,"비
박무"
20200704,강남,62491.0,64126.0,4,7,107,"비
박무"
20200705,강남,35623.0,35031.0,5,7,77,"박무
연무"
20200706,강남,91963.0,92644.0,6,7,84,
20200707,강남,93278.0,93400.0,7,7,92,비
20200708,강남,94647.0,95103.0,8,7,99,"박무
연무"
20200709,강남,93730.0,94978.0,9,7,96,"박무
연무"
20200710,강남,97768.0,101897.0,10,7,124,비
20200711,강남,65171.0,66183.0,11,7,114,
20200712,강남,37500.0,36242.0,12,7,102,"비
박무"
20200713,강남,90264.0,90327.0,13,7,98,"비
소나기
박무"
20200714,강남,94250.0,95052.0,14,7,123,"비
소나기
박무"
20200715,강남,96594.0,97163.0,15,7,114,
20200716,강남,95801.0,96744.0,16,7,102,
20200717,강남,98936.0,102815.0,17,7,123,"비
연무"
20200718,강남,64051.0,66418.0,18,7,102,"박무
연무"
20200719,강남,33784.0,32827.0,19,7,79,"비
박무"
20200720,강남,91827.0,93016.0,20,7,102,"비
박무"
20200721,강남,96148.0,97257.0,21,7,104,"안개비
박무"
20200722,강남,94542.0,95499.0,22,7,91,"비
박무"
20200723,강남,94268.0,94179.0,23,7,130,"비
소나기
박무"
20200724,강남,97574.0,102133.0,24,7,94,비
20200725,강남,63715.0,66300.0,25,7,106,비
20200726,강남,37260.0,36460.0,26,7,71,"비
채운"
20200727,강남,91601.0,92567.0,27,7,86,"비
박무"
20200728,강남,94886.0,95831.0,28,7,90,"비
박무"
20200729,강남,92706.0,93749.0,29,7,124,"비
박무"
20200730,강남,93632.0,95644.0,30,7,100,"비
박무"
20200731,강남,97182.0,102587.0,31,7,118,"비
소나기
박무
연무"
20200801,강남,56649.0,58377.0,1,8,87,"비
소나기
박무"
20200802,강남,29127.0,28489.0,2,8,74,"비
안개비
소나기
박무"
20200803,강남,86045.0,85980.0,3,8,80,"비
안개비
소나기
박무"
20200804,강남,90870.0,91047.0,4,8,106,"비
박무"
20200805,강남,91456.0,92038.0,5,8,107,"비
박무"
20200806,강남,92712.0,95659.0,6,8,101,"비
박무"
20200807,강남,98692.0,104043.0,7,8,117,"비
박무"
20200808,강남,64734.0,65943.0,8,8,98,"비
박무"
20200809,강남,31805.0,31422.0,9,8,71,"비
박무"
20200810,강남,93938.0,94647.0,10,8,82,"비
소나기
박무"
20200811,강남,94383.0,96328.0,11,8,102,"비
박무"
20200812,강남,98856.0,99684.0,12,8,93,"박무
연무"
20200813,강남,96797.0,98216.0,13,8,103,박무
20200814,강남,97748.0,102238.0,14,8,122,"비
박무"
20200815,강남,46049.0,48582.0,15,8,87,"비
소나기
박무"
20200816,강남,33768.0,34102.0,16,8,96,박무
20200817,강남,52338.0,52273.0,17,8,87,박무
